IMG_ID,PRED_LAB,ACTUAL_CT,PRED_CT,CT_Error,% Error,mAP_Train,mAP_Test,GEO_Tag_URL
DJI_0023.jpg,Yes,30,31,1,0.03,0.971,0.922,"https://www.google.com/maps/search/?api=1&query=10.895791666666666,106.695335&key=AIzaSyCb8Wm4XldgbhLknm34SOt2154eYoNtkgw"
DJI_0080.jpg,Yes,20,19,1,0.05,0.971,0.922,"https://www.google.com/maps/search/?api=1&query=10.895963333333333,106.69390833333334&key=AIzaSyCb8Wm4XldgbhLknm34SOt2154eYoNtkgw"
DJI_0088.jpg,Yes,15,15,0,0,0.971,0.922,"https://www.google.com/maps/search/?api=1&query=10.895878333333334,106.693555&key=AIzaSyCb8Wm4XldgbhLknm34SOt2154eYoNtkgw"
DJI_0185.jpg,Yes,19,19,0,0,0.971,0.922,"https://www.google.com/maps/search/?api=1&query=10.895793333333334,106.69527166666667&key=AIzaSyCb8Wm4XldgbhLknm34SOt2154eYoNtkgw"
DJI_0205.jpg,Yes,8,9,1,0.1,0.971,0.922,"https://www.google.com/maps/search/?api=1&query=10.895868333333333,106.69363333333334&key=AIzaSyCb8Wm4XldgbhLknm34SOt2154eYoNtkgw"
DJI_0255.jpg,Yes,28,26,2,0.07,0.971,0.922,"https://www.google.com/maps/search/?api=1&query=10.895973333333334,106.693735&key=AIzaSyCb8Wm4XldgbhLknm34SOt2154eYoNtkgw"
DJI_0268.jpg,Yes,25,24,1,0.04,0.971,0.922,"https://www.google.com/maps/search/?api=1&query=10.895928333333334,106.69471833333333&key=AIzaSyCb8Wm4XldgbhLknm34SOt2154eYoNtkgw"
DJI_0416.jpg,Yes,13,14,1,0.07,0.971,0.922,"https://www.google.com/maps/search/?api=1&query=10.895976666666666,106.69356166666667&key=AIzaSyCb8Wm4XldgbhLknm34SOt2154eYoNtkgw"
DJI_0487.jpg,Yes,9,10,1,0.11,0.971,0.922,"https://www.google.com/maps/search/?api=1&query=10.895866666666667,106.69370166666667&key=AIzaSyCb8Wm4XldgbhLknm34SOt2154eYoNtkgw"
DJI_0502.jpg,Yes,15,15,0,0,0.971,0.922,"https://www.google.com/maps/search/?api=1&query=10.895976666666666,106.69366166666667&key=AIzaSyCb8Wm4XldgbhLknm34SOt2154eYoNtkgw"
